$VAR__
Name|Platform|Year|Publisher|Global_Sales
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha|DS|2008|Square Enix|0.05
Cars|PSP|2006|THQ|1.22
James Bond 007: Agent Under Fire|XB|2002|Electronic Arts|0.9
Eragon|DS|2006|Vivendi Games|0.16
Arcana Famiglia 2|PSP|2013|Comfort|0.02
Wing Island|Wii|2006|Konami Digital Entertainment|0.05
Mario Party: Island Tour|3DS|2013|Nintendo|1.85
Tsuyo Kiss 2 Portable|PSP|2010|NetRevo|0.02
Snow Portable|PSP|2007|Prototype|0.02
Far Cry 2|X360|2008|Ubisoft|1.6
Dying Light|PC|2015|Warner Bros. Interactive Entertainment|0.18
Sakura-Sou no Pet na Kanojo|PSV|2013|Kadokawa Games|0.01
J-League Winning Eleven 9: Asia Championship|PS2|2005|Konami Digital Entertainment|0.11
DanceDanceRevolution|PS3|2010|Konami Digital Entertainment|0.2
WRC 5: FIA World Rally Championship|PSV|2015|Bigben Interactive|0.08
Aggressive Inline|GC|2002|Acclaim Entertainment|0.06
Oddworld: Stranger's Wrath|XB|2005|Electronic Arts|0.26
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice|PS3|2013|Namco Bandai Games|0.07
Legends of Wrestling|GC|2002|Acclaim Entertainment|0.13
How to Train Your Dragon 2|PS3|2014|Little Orbit|0.13
Kung Fu Panda|PS2|2008|Activision|0.65
Sentimental Graffiti 2|DC|2000|NEC Interchannel|0.08
Mother 3|GBA|2006|Nintendo|0.4
Drome Racers|GC|2003|Electronic Arts|0.03
Gauntlet: Dark Legacy|GC|2002|Midway Games|0.18
Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales)|GBA|2005|Nintendo|1.13
Final Fantasy XI: Treasures of Aht Urhgan|PS2|2006|Square Enix|0.23
Madden NFL 16|PS4|2015|Electronic Arts|3.22
Plants vs. Zombies|PS3|2011|PopCap Games|0.19
Rise of Nations|PC|2003|Microsoft Game Studios|0.04
The Smurfs 2|WiiU|2013|Ubisoft|0.09
Super Mario 3D World|WiiU|2013|Nintendo|4.25
Ryse: Son of Rome|XOne|2013|Microsoft Game Studios|1.36
Ultimate Game Room|DS|2009|Majesco Entertainment|0.04
Unreal Tournament 2004|PC|2004|Atari|0.02
Spyborgs|Wii|2009|Capcom|0.11
The Simpsons Game|X360|2007|Electronic Arts|1.05
Test Drive: Off Road|PS|1997|Eidos Interactive|1.16
The Chronicles of Narnia: The Lion, The Witch and The Wardrobe|PS2|2005|Disney Interactive Studios|0.43
Fable III|X360|2010|Microsoft Game Studios|5.13
Smurf: Rescue In Gargamel's Castle|2600|1981|Coleco|0.59
Juiced 2: Hot Import Nights|PS2|2007|THQ|0.39
Castlevania: Lords of Shadow - Reverie|PS3|2011|Konami Digital Entertainment|0.04
Shrek 2|PS2|2004|Activision|1.86
Jeremy McGrath Supercross World|PS2|2001|Acclaim Entertainment|0.23
Touch My Katamari|PSV|2011|Namco Bandai Games|0.14
G.I. Joe: The Rise of Cobra|PS2|2009|Electronic Arts|0.14
Danganronpa 2: Goodbye Despair|PSP|2012|Spike|0.19
Def Jam Icon|X360|2007|Electronic Arts|0.35
MVP Baseball 2003|XB|2003|Electronic Arts|0.2
Power Pro Kun Pocket 9|DS|2006|Konami Digital Entertainment|0.15
Tom Clancy's Rainbow Six: Rogue Spear|GBA|2002|Ubisoft|0.11
Sniper: Ghost Warrior|X360|2010|City Interactive|1.16
Duke Nukem: Land of the Babes|PS|2000|Atari|0.08
Top Spin 4|PS3|2011|Take-Two Interactive|0.71
Syphon Filter: Dark Mirror|PS2|2007|Sony Computer Entertainment|0.28
Donkey Kong Country Returns|3DS|2013|Nintendo|1.87
Fatal Frame 2: Wii Edition|Wii|2012|Nintendo|0.1
Time Travelers|PSV|2012|Level 5|0.05
Harukanaru Toki no Naka de: Yumenoukihashi|DS|2008|Tecmo Koei|0.05
Dream C Club: GoGo|PS3|2014|D3Publisher|0.02
LEGO The Lord of the Rings|Wii|2012|Warner Bros. Interactive Entertainment|0.97
Rugby Challenge 3|PS4|2016|Alternative Software|0.04
Need for Speed: Shift 2 Unleashed|PS3|2011|Electronic Arts|0.69
PGR: Project Gotham Racing 2|XB|2003|Microsoft Game Studios|1.67
Football Manager 2015|PC|2014|Sega|0.48
Deadpool|XOne|2015|Activision|0.12
Metal Gear Rising: Revengeance|X360|2013|Konami Digital Entertainment|0.5
The King of Fighters XIII|X360|2011|Rising Star Games|0.33
Bleach DS 4th: Flame Bringer|DS|2009|Sega|0.03
Legend of Kay Anniversary|PS4|2015|Nordic Games|0.02
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban|SNES|1996|Konami Digital Entertainment|0.19
NBA Live 10|PSP|2009|Electronic Arts|0.24
Space Chimps|X360|2008|Brash Entertainment|0.11
Jikkyou Powerful Pro Yakyuu 11|PS2|2004|Konami Digital Entertainment|0.42
Mortal Kombat|X360|2011|Warner Bros. Interactive Entertainment|2.11
Castrol Honda Superbike Racing|PS|1998|THQ|0.13
Max Payne|PC|2001|Take-Two Interactive|0.02
Dragon Age: Inquisition|PC|2014|Electronic Arts|0.73
NHL 09|PS3|2008|Electronic Arts|0.34
EyeToy Play|PS2|2003|Sony Computer Entertainment|4.2
Ojyousama Express|SAT|1998|Media Works|0.03
Turning Point: Fall of Liberty|X360|2008|Codemasters|0.29
NBA Live 09|X360|2008|Electronic Arts|0.71
Max Payne 3|PS3|2012|Take-Two Interactive|1.9
MonHun Nikki: Poka Poka Ailu Mura|PSP|2010|Capcom|0.6
Mushihimesama Futari Ver 1.5|X360|2009|Cave|0.03
Skies of Arcadia|DC|2000|Sega|0.09
Dragon Ball Z: Shin Budokai - Another Road|PSP|2007|Atari|0.44
Mega Man Xtreme 2|GB|2001|Capcom|0.07
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel|PS2|2008|Naxat Soft|0.01
The Technomancer|PS4|2016|Focus Home Interactive|0.05
NBA 2K|DC|1999|Sega|0.05
Katamari Damacy|PS2|2004|Namco Bandai Games|0.73
Coded Arms: Contagion|PSP|2007|Konami Digital Entertainment|0.06
Namco Museum Vol.4|PS|1996|Sony Computer Entertainment|0.2
Vigilante 8|N64|1998|Activision|0.31
Black * Rock Shooter: The Game|PSP|2011|Unknown|0.15
Tetris 2 (weekly jp sales)|GB|1992|Nintendo|0.23
Cabela's Outdoor Adventures (2009)|PS2|2009|Activision Value|0.14
Star Trek: The Game|X360|2013|Namco Bandai Games|0.22
Are You Smarter Than a 5th Grader? Back to School|DS|2010|THQ|0.09
Monster Jam: Path of Destruction|Wii|2010|Activision|0.56
SolarStriker|GB|1989|Nintendo|1.2
The Legend of Zelda: Spirit Tracks|DS|2009|Nintendo|3.38
NASCAR 06: Total Team Control|XB|2005|Electronic Arts|0.27
Championship Pony|DS|2008|Destination Software, Inc|0.1
Tomb Raider: Underworld|PS2|2009|Eidos Interactive|0.18
Doshin the Giant|GC|2002|Nintendo|0.14
Hatsune Miku: Project Diva 2nd|PSP|2010|Sega|0.41
Super Robot Taisen XO|X360|2006|Banpresto|0.01
Santa Claus Is Comin' to Town!|Wii|2011|Crave Entertainment|0.06
DK: King of Swing|GBA|2005|Nintendo|0.24
California Speed|N64|1999|Midway Games|0.16
Peter Jacobsen's Golden Tee Golf|PS|2000|Infogrames|0.12
Final Fantasy XIII-2|X360|2011|Square Enix|0.74
Nanashi no Game Me|DS|2009|Square Enix|0.03
Famista '91|NES|1990|Namco Bandai Games|0.3
Mario vs. Donkey Kong 2: March of the Minis|DS|2006|Nintendo|1.2
Detective Opera: Milky Holmes 2|PSP|2012|BushiRoad|0.03
Over G Fighters|X360|2006|Ubisoft|0.22
Sengoku Musou 3 Empires|PS3|2011|Tecmo Koei|0.14
Mappy|NES|1984|Namco Bandai Games|0.69
Spectral Souls: Resurrection of the Ethereal Empires|PSP|2005|Idea Factory|0.03
GoldenEye: Rogue Agent|PS2|2004|Electronic Arts|0.64
Root Infinity Rexx|PSV|2015|Idea Factory|0.02
The Mark of Kri|PS2|2002|Sony Computer Entertainment|0.46
WWII Aces|Wii|2008|Destineer|0.29
Final Fantasy XI: Wings of the Goddess|X360|2007|Square Enix|0.3
Castlevania: Lords of Shadow 2|PS3|2014|Konami Digital Entertainment|0.22
Crusader: No Remorse|PS|1996|Electronic Arts|0.05
Digimon World 2|PS|2000|Namco Bandai Games|0.58
Captain America: Super Soldier|X360|2011|Sega|0.18
Puyo Puyo Sun|SAT|1997|Compile|0.6
Hot Shots Golf Fore!|PS2|2003|Sony Computer Entertainment|0.94
OkamiDen|DS|2010|Capcom|0.48
Monster Jam|X360|2007|Activision|0.2
4x4 EVO 2|XB|2001|Gathering of Developers|0.24
NFL Blitz 20-02|PS2|2002|Midway Games|0.28
Front Mission: Gun Hazard|SNES|1996|SquareSoft|0.24
Harry Potter and the Chamber of Secrets|PC|2002|Electronic Arts|0.01
Nobunaga no Yabou DS 2|DS|2008|Tecmo Koei|0.03
APB Reloaded|PC|2011|Iceberg Interactive|0.04
Blood Bowl: Legendary Edition|PC|2010|Focus Home Interactive|0.02
Bombastic|PS2|2002|Capcom|0.05
Raw Danger! (JP sales)|PS2|2006|505 Games|0.06
Tokimeki no Houkago|PS|1998|Konami Digital Entertainment|0.06
No More Heroes|Wii|2007|Rising Star Games|0.57
Monopoly Collection|Wii|2011|Electronic Arts|0.09
Tom Clancy's Ghost Recon 2|XB|2004|Ubisoft|1.36
Empire Earth|PC|2001|Vivendi Games|0.05
Alien Syndrome|PSP|2007|Sega|0.08
Gretzky NHL 06|PSP|2005|Sony Computer Entertainment|0.14
Pinball Hall of Fame: The Williams Collection|PSP|2008|System 3 Arcade Software|0.11
MotoGP 15|PS4|2015|Milestone S.r.l.|0.17
MySims SkyHeroes|Wii|2010|Electronic Arts|0.31
Ice Age 2: The Meltdown|Wii|2006|Vivendi Games|0.08
Rainbow Islands Revolution|DS|2005|Rising Star Games|0.02
NightCaster II: Equinox|XB|2002|Jaleco|0.05
Mario Tennis|3DS|N/A|N/A|0.02
Final Fantasy V|SNES|1992|SquareSoft|2.45
Dual Heroes|N64|1997|Hudson Soft|0.05
Real World Golf|XB|2006|Mad Catz|0.03
Pokemon Ranger: Guardian Signs|DS|2010|Nintendo|1.33
N+|PSP|2007|Atari|0.03
Legends of Oz: Dorothy's Return|3DS|2014|N/A|0.01
Pictionary: Ultimate Edition|PS3|2011|THQ|0.24
Tearaway Unfolded|PS4|2015|Sony Computer Entertainment|0.25
Bad Boys: Miami Takedown|XB|2004|Empire Interactive|0.18
Lunar 2: Eternal Blue Complete|PS|1999|Kadokawa Shoten|0.35
The Pinball of the Dead|GBA|2002|Sega|0.06
Zillions of Enemy X: Zetsukai no Crusade|PS3|2013|Nippon Ichi Software|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9|PS3|2016|Namco Bandai Games|0.02
Final Fantasy IX|PS|2000|SquareSoft|5.3
C.O.P.: The Recruit|DS|2009|Ubisoft|0.08
Harry Potter and the Sorcerer's Stone|GB|2001|Electronic Arts|1.73
Way of the Samurai 2|PS2|2003|Capcom|0.33
Toukiden Kiwami|PS4|2015|Tecmo Koei|0.17
Valkyrie Profile 2: Silmeria|PS2|2006|Square Enix|0.47
Saints Row IV|PC|2013|Deep Silver|0.19
MotoGP 14|PS4|2014|Milestone S.r.l.|0.18
Disney's Planes|3DS|2013|Disney Interactive Studios|0.07
Leisure Suit Larry: Box Office Bust|X360|2009|Codemasters|0.16
UFC Personal Trainer: The Ultimate Fitness System|Wii|2011|THQ|0.2
Namco Museum Remix|Wii|2007|Atari|0.74
NBA Live 2002|PS|2001|Electronic Arts|0.52
Learning to Spell|DS|2010|505 Games|0.17
Itadaki Street DS|DS|2007|Square Enix|0.41
Daibakushou: Jinsei Gekijou|SNES|1995|Taito|0.03
The Crew: Wild Run|PC|2015|Ubisoft|0.02
World Series of Poker: Tournament of Champions 2007 Edition|Wii|2006|Activision|0.05
Just Dance 2015|XOne|2014|Ubisoft|0.53
Professional Farmer 2016|PS4|2015|Namco Bandai Games|0.02
The Simpsons: Road Rage|PS2|2001|Electronic Arts|3.61
The Penguins of Madagascar: Dr. Blowhole Returns - Again!|X360|2011|THQ|0.11
Minna de Dokusho: Keatai Shousetsu Desu|PSP|2008|Dorart|0.02
Need for Speed Rivals|PC|2013|Electronic Arts|0.27
Legendary|PC|2008|Atari|0.02
Arslan: The Warriors of Legend|PS3|2015|Tecmo Koei|0.05
Dragon Age: Inquisition|X360|2014|Electronic Arts|0.55
Donkey Kong Country 3|GBA|2005|Nintendo|0.77
Farming Simulator 2012|3DS|2012|Excalibur Publishing|0.14
The Ant Bully|PS2|2006|Midway Games|0.1
Spore Hero Arena|DS|2009|Electronic Arts|0.2
Disney's Atlantis: The Lost Empire|GBA|2001|THQ|0.12
Final Approach 2: 1st Priority|PS2|2008|Princess Soft|0.02
Agatha Christie's The ABC Murders|PS4|2016|Microids|0.02
Kuusen II|PS2|2004|Kadokawa Shoten|0.02
Street Fighter Alpha 2|SAT|1995|Virgin Interactive|0.32
Warriors Orochi 3|PS3|2011|Ubisoft Annecy|0.62
Jampack Spring 2004 (RP-T)|PS2|2003|Sony Computer Entertainment|0.41
Venus & Braves: Majo to Megami to Horobi no Yogen|PSP|2011|Namco Bandai Games|0.05
Arena Football|XB|2006|Electronic Arts|0.15
Harvest Moon DS (jp sales)|DS|2005|Rising Star Games|0.13
Need for Speed Underground|PC|2003|Electronic Arts|0.05
Simple 2000 Series Vol. 120: The Saigo no Nippon Tsuwamono|PS2|2007|D3Publisher|0.01
Romance of the Three Kingdoms II|SNES|1991|Tecmo Koei|0.25
Madden NFL Football|3DS|2011|Electronic Arts|0.39
Iron Chef America: Supreme Cuisine|Wii|2008|Destineer|0.17
